store_name,storeid,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,year_first,year_last,X,Y,method,match,dup,st_fips,cty_fips,tract_fips,gisjn_tct,msa_fips,msa_name,msa_short,place_fips,place_name,gisjn_plc,puma_fips,gisjn_puma,chain
KROGER 442,st_081134,1720,MARS HILL RD,Ste 550,ACWORTH,GA,30101,Super Store,15,Supermarket,6,1,1,1,1,1,1,1,1,1,1,2008,2017,-84.70588,33.99654,usda,NA,0,G13,G13067,G13067030219,G1300670030219,12060,"Atlanta-Sandy Springs-Roswell, GA","Atlanta,  GA",NA,NA,NA,NA,G13003002,kroger
KROGER 397,st_097741,3330,COBB PKWY,NA,ACWORTH,GA,30101,Super Store,15,Supermarket,6,1,1,1,1,1,1,1,1,1,1,2008,2017,-84.67748,34.03482,usda,NA,0,G13,G13067,G13067030103,G1300670030103,12060,"Atlanta-Sandy Springs-Roswell, GA","Atlanta,  GA",G1300408,Acworth city,G13000408,G1300408,G13003002,kroger
TARGET STORE T-2091,st_028266,3378,Cobb Pkwy NW,NA,Acworth,GA,30101,Super Store,15,Supermarket,6,1,1,1,1,1,1,1,1,1,1,2008,2017,-84.68459,34.03626,usda,NA,0,G13,G13067,G13067030103,G1300670030103,12060,"Atlanta-Sandy Springs-Roswell, GA","Atlanta,  GA",G1300408,Acworth city,G13000408,G1300408,G13003002,NA
Walmart SUPERCENTER 3748,st_033252,3826,Cobb Pkwy NW,NA,Acworth,GA,30101,Super Store,15,Supermarket,6,1,1,1,1,1,1,1,1,1,1,2008,2017,-84.69877,34.0476,usda,NA,0,G13,G13067,G13067030103,G1300670030103,12060,"Atlanta-Sandy Springs-Roswell, GA","Atlanta,  GA",G1300408,Acworth city,G13000408,G1300408,G13003002,walmart
PUBLIX 566,st_083445,1727,MARS HILL RD.,NA,ACWORTH,GA,30101,Supermarket,16,Supermarket,6,1,1,1,1,1,1,1,1,1,1,2008,2017,-84.70617,33.99617,usda,NA,0,G13,G13067,G13067030219,G1300670030219,12060,"Atlanta-Sandy Springs-Roswell, GA","Atlanta,  GA",NA,NA,NA,NA,G13003002,publix
PUBLIX 1096,st_005750,6110,Cedarcrest Rd NW,NA,Acworth,GA,30101,Supermarket,16,Supermarket,6,1,1,1,1,1,1,1,1,1,1,2008,2017,-84.72679,34.06269,usda,NA,0,G13,G13067,G13067030101,G1300670030101,12060,"Atlanta-Sandy Springs-Roswell, GA","Atlanta,  GA",NA,NA,NA,NA,G13003002,publix
SAVE A LOT,st_055664,4545,S Main St,NA,Acworth,GA,30101,Supermarket,16,Supermarket,6,1,1,1,1,0,0,0,0,0,0,2008,2011,-84.66971843,34.06414178,esri,PointAddress,0,G13,G13067,G13067030103,G1300670030103,12060,"Atlanta-Sandy Springs-Roswell, GA","Atlanta,  GA",G1300408,Acworth city,G13000408,G1300408,G13003002,NA
PUBLIX 593,st_087324,3507,Baker Rd NW,Ste 300,Acworth,GA,30101,Supermarket,16,Supermarket,6,1,1,1,1,1,1,1,1,1,1,2008,2017,-84.65144,34.07586,usda,NA,0,G13,G13067,G13067030106,G1300670030106,12060,"Atlanta-Sandy Springs-Roswell, GA","Atlanta,  GA",G1300408,Acworth city,G13000408,G1300408,G13003002,publix
INGLES MARKETS 411,st_088446,5055,Cherokee St,NA,Acworth,GA,30101,Supermarket,16,Supermarket,6,1,1,1,1,1,1,1,1,1,1,2008,2017,-84.67674,34.07671,usda,NA,0,G13,G13067,G13067030104,G1300670030104,12060,"Atlanta-Sandy Springs-Roswell, GA","Atlanta,  GA",G1300408,Acworth city,G13000408,G1300408,G13003002,NA
KROGER 441,st_102947,2300,HOLCOMB BRIDGE RD,NA,ALPHARETTA,GA,30075,Super Store,15,Supermarket,6,1,1,1,1,1,1,1,1,1,1,2008,2017,-84.26288,33.97374,usda,NA,0,G13,G13121,G13121011425,G1301210011425,12060,"Atlanta-Sandy Springs-Roswell, GA","Atlanta,  GA",G1367284,Roswell city,G13067284,G1367284,G13001002,kroger
